ImageId,Label
1,0
2,0
3,9
4,9
5,7
6,7
7,0
8,3
9,0
10,3
11,3
12,9
13,4
14,0
15,4
16,9
17,3
18,1
19,3
20,0
21,4
22,1
23,1
24,7
25,7
26,4
27,6
28,3
29,9
30,9
31,7
32,1
33,4
34,1
35,9
36,2
37,1
38,1
39,3
40,9
41,7
42,7
43,4
44,9
45,3
46,7
47,1
48,0
49,6
50,1
51,6
52,3
53,1
54,3
55,5
56,1
57,1
58,0
59,1
60,7
61,7
62,1
63,7
64,0
65,6
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,8
74,6
75,9
76,3
77,3
78,3
79,2
80,3
81,7
82,9
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,1
92,0
93,6
94,6
95,8
96,4
97,3
98,9
99,7
100,1
101,0
102,3
103,1
104,0
105,7
106,1
107,0
108,5
109,0
110,3
111,4
112,0
113,9
114,9
115,1
116,9
117,1
118,1
119,3
120,9
121,3
122,7
123,2
124,1
125,6
126,3
127,3
128,9
129,1
130,9
131,3
132,0
133,1
134,0
135,0
136,0
137,3
138,1
139,9
140,4
141,4
142,3
143,4
144,9
145,7
146,9
147,3
148,9
149,1
150,1
151,4
152,0
153,7
154,6
155,8
156,1
157,7
158,3
159,7
160,8
161,3
162,0
163,4
164,9
165,1
166,8
167,9
168,4
169,3
170,0
171,0
172,7
173,7
174,6
175,1
176,3
177,9
178,4
179,1
180,3
181,4
182,2
183,6
184,0
185,4
186,9
187,1
188,1
189,9
190,0
191,6
192,1
193,4
194,4
195,6
196,0
197,1
198,7
199,0
200,7
201,1
202,1
203,0
204,1
205,4
206,0
207,8
208,4
209,9
210,4
211,0
212,7
213,3
214,6
215,7
216,8
217,1
218,6
219,3
220,4
221,4
222,3
223,1
224,3
225,9
226,9
227,1
228,4
229,1
230,0
231,1
232,6
233,9
234,1
235,9
236,0
237,0
238,1
239,9
240,6
241,3
242,6
243,3
244,5
245,7
246,5
247,9
248,3
249,9
250,9
251,9
252,4
253,1
254,7
255,8
256,4
257,8
258,1
259,4
260,3
261,4
262,3
263,3
264,8
265,7
266,0
267,6
268,8
269,7
270,1
271,9
272,0
273,6
274,3
275,9
276,3
277,1
278,3
279,8
