ImageId,Label
1,2
2,0
3,1
4,9
5,1
6,2
7,0
8,3
9,0
10,3
11,3
12,3
13,4
14,0
15,1
16,0
17,9
18,1
19,7
20,0
21,7
22,1
23,1
24,1
25,7
26,3
27,0
28,4
29,9
30,7
31,7
32,1
33,0
34,1
35,6
36,2
37,1
38,0
39,1
40,5
41,1
42,7
43,4
44,0
45,9
46,7
47,1
48,0
49,6
50,9
51,6
52,2
53,1
54,8
55,0
56,1
57,1
58,3
59,4
60,3
61,3
62,1
63,9
64,0
65,4
66,0
67,1
68,3
69,0
70,3
71,4
72,5
73,4
74,5
75,2
76,0
77,1
78,9
79,1
80,3
81,3
82,3
83,1
84,0
85,9
86,1
87,3
88,5
89,4
90,9
91,1
92,1
93,6
94,6
95,1
96,1
97,3
98,0
99,3
100,3
101,0
102,3
103,2
104,4
105,0
106,1
107,0
108,5
109,4
110,1
111,0
112,0
113,3
114,1
115,1
116,8
117,1
118,1
119,7
120,1
121,3
122,9
123,1
124,1
125,1
126,1
127,2
128,7
129,2
130,4
131,3
132,5
133,1
134,0
135,0
136,0
137,1
138,1
139,3
140,0
141,4
142,1
143,4
144,5
145,1
146,6
147,0
148,4
149,1
150,1
151,8
152,1
153,7
154,1
155,3
156,3
157,9
158,9
159,9
160,8
161,3
162,0
163,4
164,5
165,1
166,3
167,1
168,4
169,9
170,4
171,5
172,7
173,7
174,5
175,1
176,1
177,7
178,4
179,1
180,2
181,4
182,2
183,5
184,1
185,4
186,7
187,1
188,1
189,1
190,0
191,4
192,8
193,3
194,0
195,4
196,0
197,3
198,9
199,5
200,9
201,1
202,3
203,0
204,1
205,4
206,0
207,0
208,4
209,1
210,1
211,4
212,3
213,3
214,1
215,2
216,2
217,1
218,6
219,3
220,4
221,2
222,1
223,1
224,4
225,2
226,2
227,4
228,4
229,1
230,0
231,7
232,1
233,9
234,1
235,2
236,1
237,1
238,1
239,2
240,6
241,0
242,6
243,3
244,0
245,9
246,3
247,9
248,2
249,8
250,6
251,3
252,9
253,1
254,1
255,4
256,0
257,3
258,1
259,4
260,0
261,2
262,3
263,3
264,5
265,7
266,0
267,5
268,2
269,1
270,1
271,1
272,0
273,6
274,2
275,9
276,4
277,1
278,3
279,3
280,4
281,0
282,4
283,2
284,9
285,5
286,3
287,7
288,2
289,4
290,9
291,4
292,9
293,7
294,4
295,4
296,6
297,2
298,0
299,5
300,0
301,4
302,3
303,9
304,2
305,1
306,2
307,1
308,8
309,4
310,5
311,0
312,6
313,1
314,3
315,0
316,7
317,8
318,4
319,1
320,9
321,4
322,1
323,1
324,3
325,4
326,4
327,1
328,1
329,1
330,8
331,6
332,1
333,1
334,3
335,5
336,3
337,0
338,1
339,6
340,9
341,4
342,1
343,1
344,8
345,2
346,0
347,4
348,3
349,1
350,2
351,0
352,7
353,7
354,2
355,5
356,1
357,9
358,0
359,3
360,1
361,2
362,1
363,3
364,0
365,9
366,0
367,1
368,2
369,1
370,0
371,1
372,3
373,9
374,9
375,7
376,4
377,2
378,1
379,3
380,1
381,2
382,1
383,5
384,1
385,2
386,1
387,7
388,1
389,1
390,9
391,1
392,7
393,1
394,4
395,4
396,1
397,1
398,1
399,9
400,2
401,7
402,7
403,6
404,1
405,1
406,1
407,4
408,3
409,3
410,4
411,4
412,4
413,4
414,1
415,2
416,7
417,1
418,1
419,3
420,0
421,5
422,1
423,5
424,8
425,1
426,1
427,3
428,9
429,4
430,7
431,4
432,8
433,5
434,1
435,0
436,1
437,1
438,2
439,7
440,6
441,1
442,0
443,9
444,5
445,1
446,0
447,1
448,1
449,3
450,3
451,9
452,7
453,4
454,9
455,5
456,2
457,2
458,2
459,1
460,6
461,1
462,9
463,5
464,4
465,7
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,6
474,6
475,3
476,0
477,3
478,3
479,1
480,0
481,1
482,2
483,1
484,1
485,7
486,4
487,4
488,9
489,3
490,2
491,4
492,4
493,2
494,6
495,1
496,6
497,5
498,1
499,1
500,0
501,4
502,5
503,4
504,4
505,8
506,2
507,2
508,2
509,4
510,6
511,7
512,1
513,4
514,7
515,3
516,0
517,1
518,7
519,4
520,2
521,4
522,4
523,0
524,7
525,9
526,1
527,4
528,1
529,1
530,7
531,9
532,9
533,3
534,8
535,2
536,4
537,4
538,5
539,4
540,3
541,4
542,2
543,9
544,2
545,0
546,1
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,1
555,5
556,0
557,1
558,8
559,1
560,2
561,3
562,3
563,1
564,1
565,6
566,5
567,1
568,1
569,1
570,4
571,1
572,9
573,9
574,3
575,0
576,4
577,1
578,4
579,1
580,0
581,5
582,1
583,2
584,1
585,9
586,1
587,7
588,1
589,2
590,0
591,1
592,4
593,1
594,4
595,1
596,6
597,0
598,6
599,0
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,5
610,1
611,9
612,4
613,5
614,1
615,2
616,4
617,0
618,5
619,0
620,2
621,2
622,5
623,9
624,3
625,0
626,2
627,3
628,3
629,4
630,7
631,4
632,1
633,1
634,4
635,1
636,4
637,9
638,7
639,6
640,3
641,0
642,2
643,9
644,6
645,4
646,1
647,1
648,4
649,1
650,0
651,9
652,2
653,5
654,7
655,2
656,1
657,4
658,1
659,3
660,7
661,1
662,3
663,4
664,0
665,0
666,5
667,1
668,7
669,3
670,4
671,3
672,7
673,4
674,3
675,3
676,7
677,2
678,1
679,6
680,0
681,4
682,9
683,2
684,1
685,1
686,3
687,4
688,4
689,9
690,9
691,1
692,4
693,0
694,1
695,3
696,4
697,3
698,3
699,0
700,0
701,4
702,4
703,4
704,0
705,5
706,0
707,6
708,1
709,1
710,0
711,6
712,0
713,1
714,5
715,8
716,4
717,4
718,1
719,7
720,0
721,4
722,0
723,1
724,0
725,1
726,1
727,6
728,3
729,7
730,4
731,9
732,1
733,3
734,2
735,2
736,3
737,1
738,5
739,1
740,3
741,3
742,1
743,1
744,4
745,3
746,3
747,5
748,7
749,3
750,4
751,4
752,3
753,0
754,4
755,1
756,4
757,9
758,1
759,1
760,2
761,7
762,0
763,1
764,4
765,4
766,0
767,4
768,5
769,1
770,1
771,0
772,5
773,0
774,1
775,4
776,5
777,4
778,4
779,3
780,1
781,1
782,0
783,4
784,1
785,2
786,1
787,3
788,3
789,7
790,5
791,1
792,0
793,1
794,0
795,3
796,7
797,1
798,6
799,9
800,9
801,1
802,1
803,3
804,3
805,1
806,1
807,3
808,4
809,9
810,1
811,0
812,3
813,7
814,1
815,2
816,1
817,0
818,7
819,9
820,4
821,3
822,0
823,4
824,0
825,1
826,3
827,6
828,5
829,7
830,2
831,1
832,1
833,9
834,3
835,3
836,9
837,6
838,1
839,1
840,1
841,1
842,9
843,0
844,1
845,4
846,1
847,4
848,1
849,1
850,3
851,3
852,1
853,9
854,4
855,2
856,1
857,1
858,1
859,4
860,3
861,0
862,4
863,1
864,3
865,2
866,7
867,6
868,9
869,2
870,5
871,4
872,1
873,3
874,3
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,2
883,1
884,1
885,0
886,7
887,1
888,1
889,4
890,4
891,1
892,9
893,0
894,0
895,4
896,0
897,3
898,3
899,1
900,1
901,3
902,2
903,3
904,9
905,4
906,3
907,7
908,3
909,2
910,7
911,2
912,3
913,4
914,8
915,1
916,0
917,4
918,5
919,1
920,0
921,1
922,1
923,1
924,3
925,4
926,7
927,9
928,4
929,6
930,2
931,5
932,2
933,1
934,4
935,1
936,7
937,8
938,1
939,3
940,3
941,6
942,1
943,4
944,1
945,0
946,3
947,1
948,1
949,3
950,0
951,1
952,1
953,1
954,2
955,3
956,1
957,2
958,1
959,6
960,1
961,9
962,1
963,9
964,0
965,0
966,2
967,1
968,4
969,2
970,1
971,7
972,2
973,0
974,6
975,1
976,7
977,2
978,0
979,7
980,4
981,7
982,1
983,7
984,9
985,7
986,2
987,4
988,5
989,1
990,1
991,1
992,9
993,0
994,6
995,1
996,3
997,6
998,2
999,1
1000,6
1001,6
1002,9
1003,0
1004,4
1005,1
1006,2
1007,4
1008,0
1009,1
1010,4
1011,1
1012,4
1013,3
1014,1
1015,3
1016,7
1017,4
1018,3
1019,9
1020,0
1021,1
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,0
1030,1
1031,3
1032,1
1033,3
1034,3
1035,4
1036,1
1037,9
1038,3
1039,3
1040,4
1041,1
1042,4
1043,1
1044,9
1045,1
1046,1
1047,2
1048,3
1049,4
1050,6
1051,1
1052,1
1053,1
1054,3
1055,9
1056,1
1057,1
1058,3
1059,6
1060,6
1061,3
1062,6
1063,3
1064,0
1065,9
1066,4
1067,9
1068,0
1069,1
1070,9
1071,4
1072,0
1073,9
1074,4
1075,3
1076,2
1077,6
1078,1
1079,0
1080,5
1081,7
1082,0
1083,2
1084,1
1085,7
1086,9
1087,5
1088,1
1089,3
1090,1
1091,3
1092,1
1093,9
1094,1
1095,1
1096,6
1097,1
1098,3
1099,2
1100,1
1101,4
1102,1
1103,4
1104,1
1105,3
1106,1
1107,4
1108,0
1109,6
1110,4
1111,7
1112,2
1113,0
1114,1
1115,0
1116,3
1117,1
1118,1
1119,1
1120,9
1121,2
1122,4
1123,1
1124,1
1125,4
1126,3
1127,4
1128,6
1129,1
1130,1
1131,4
1132,1
1133,2
1134,0
1135,3
1136,6
1137,1
1138,1
1139,1
1140,7
1141,6
1142,0
1143,1
1144,1
1145,1
1146,2
1147,3
1148,3
1149,6
1150,1
1151,1
1152,7
1153,0
1154,1
1155,3
1156,4
1157,1
1158,1
1159,8
1160,0
1161,9
1162,1
1163,4
1164,0
1165,6
1166,3
1167,1
1168,2
1169,1
1170,1
1171,1
1172,1
1173,3
1174,1
1175,9
1176,2
1177,7
1178,7
1179,2
1180,3
1181,1
1182,2
1183,0
1184,3
1185,0
1186,7
1187,0
1188,7
1189,0
1190,9
1191,9
1192,6
1193,3
1194,1
1195,2
1196,3
1197,3
1198,0
1199,0
1200,3
1201,4
1202,4
1203,3
1204,3
1205,1
1206,7
1207,9
1208,6
1209,4
1210,1
1211,3
1212,2
1213,0
1214,3
1215,1
1216,7
1217,1
1218,9
