ImageId,Label
1,0
2,0
3,9
4,7
5,0
6,7
7,0
8,3
9,0
10,3
11,3
12,8
13,4
14,0
15,4
16,3
17,9
18,1
19,4
20,0
21,7
22,1
23,8
24,7
25,7
26,1
27,0
28,7
29,7
30,9
31,8
32,4
33,4
34,2
35,0
36,3
37,1
38,1
39,3
40,9
41,7
42,7
43,4
44,9
45,3
46,7
47,1
48,0
49,1
50,1
51,6
52,9
53,2
54,3
55,9
56,2
57,1
58,9
59,1
60,7
61,9
62,7
63,7
64,3
65,1
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,8
74,9
75,9
76,2
77,9
78,9
79,2
80,0
81,7
82,2
83,1
84,0
85,9
86,1
87,4
88,8
89,2
90,7
91,4
92,1
93,3
94,3
95,8
96,1
97,8
98,8
99,7
100,1
101,0
102,1
103,5
104,0
105,9
106,7
107,0
108,3
109,0
110,3
111,1
112,0
113,1
114,1
115,1
116,8
117,4
118,1
119,3
120,5
121,3
122,7
123,2
124,3
125,1
126,3
127,2
128,7
129,4
130,4
131,3
132,1
133,2
134,0
135,0
136,0
137,3
138,1
139,9
140,3
141,4
142,3
143,4
144,3
145,1
146,5
147,4
148,9
149,1
150,2
151,4
152,0
153,1
154,3
155,8
156,0
157,7
158,3
159,7
160,8
161,3
162,0
163,9
164,5
165,1
166,8
167,7
168,1
169,1
170,0
171,3
172,7
173,4
174,2
175,1
176,1
177,9
178,1
179,1
180,0
181,4
182,1
183,5
184,0
185,4
186,9
187,1
188,1
189,1
190,0
191,0
192,0
193,4
194,2
195,4
196,0
197,1
198,7
199,3
200,4
201,1
202,1
203,0
204,1
205,0
206,0
207,9
208,4
209,1
210,4
211,0
212,9
213,3
214,2
215,2
216,8
217,1
218,6
219,3
220,4
221,0
222,5
223,1
224,3
225,1
226,9
227,1
228,2
229,3
230,0
231,0
232,9
233,9
234,2
235,8
236,0
237,0
238,1
239,9
240,6
241,0
242,3
243,0
244,5
245,8
246,3
247,9
248,2
249,8
250,7
251,9
252,4
253,1
254,3
255,9
256,7
257,1
258,1
259,9
260,0
261,4
262,9
263,9
264,8
265,1
266,0
267,6
268,9
269,3
270,1
271,6
272,0
273,6
274,3
275,9
276,9
277,1
278,3
279,5
